Anzahl Elemente;gestoppte Zeit[ms]
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;1
200;0
300;1
400;1
500;1
600;1
700;1
800;1
900;2
1000;2
2000;3
3000;3
4000;5
5000;8
6000;11
7000;16
8000;21
9000;25
10000;31
20000;124
30000;274
40000;495
50000;796
60000;1097
70000;1469
80000;1868
90000;1528
100000;1819
200000;7412
300000;16713
400000;30066
500000;47412
600000;68986
700000;94785
800000;126629
900000;158291
1000000;193265
