Anzahl Elemente;gestoppte Zeit[ms]
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;1
90;0
100;0
200;0
300;0
400;0
500;1
600;0
700;0
800;0
900;0
1000;0
2000;0
3000;0
4000;0
5000;1
6000;1
7000;1
8000;0
9000;1
10000;1
20000;2
30000;4
40000;4
50000;5
60000;7
70000;8
80000;8
90000;9
100000;11
200000;24
300000;35
400000;48
500000;61
600000;72
700000;87
800000;101
900000;112
1000000;123
