Titel;Album;Interpret;Jahr
Can't Help Falling in Love;Dylan;Bob Dylan;1973
Fool Such as I;Dylan;Bob Dylan;1973
Lily of the West;Dylan;Bob Dylan;1973
Mary Ann;Dylan;Bob Dylan;1973
Mr. Bojangles;Dylan;Bob Dylan;1973
Sarah Jane;Dylan;Bob Dylan;1973
Spanish Is the Loving Tongue;Dylan;Bob Dylan;1973
Clean Cut Kid;Empire Burlesque;Bob Dylan;1985
Dark Eyes;Empire Burlesque;Bob Dylan;1985
Emotionally Yours;Empire Burlesque;Bob Dylan;1985
I'll Remember You;Empire Burlesque;Bob Dylan;1985
Never Gonna Be The Same Again;Empire Burlesque;Bob Dylan;1985
Seeing The Real You At Last;Empire Burlesque;Bob Dylan;1985
Something's Burning, Baby;Empire Burlesque;Bob Dylan;1985
Tight Connection To My Heart;Empire Burlesque;Bob Dylan;1985
Trust Yourself;Empire Burlesque;Bob Dylan;1985
When The Night Comes Falling From The Sky;Empire Burlesque;Bob Dylan;1985
Arthur McBride;Good As I Been To You;Bob Dylan;1992
Blackjack Davey;Good As I Been To You;Bob Dylan;1992
Canadee-I-O;Good As I Been To You;Bob Dylan;1992
Diamond Joe;Good As I Been To You;Bob Dylan;1992
Frankie And Albert;Good As I Been To You;Bob Dylan;1992
Froggie Went A Courtin';Good As I Been To You;Bob Dylan;1992
Hard Times;Good As I Been To You;Bob Dylan;1992
Jim Jones;Good As I Been To You;Bob Dylan;1992
Little Maggie;Good As I Been To You;Bob Dylan;1992
Sittin' On Top Of The World;Good As I Been To You;Bob Dylan;1992
Step It Up And Go;Good As I Been To You;Bob Dylan;1992
Tomorrow Night;Good As I Been To You;Bob Dylan;1992
You're Gonna Quit Me;Good As I Been To You;Bob Dylan;1992
I Threw It All Away (live);Hard Rain;Bob Dylan;1976
Idiot Wind (live);Hard Rain;Bob Dylan;1976
Lay Lady Lay (live);Hard Rain;Bob Dylan;1976
Maggie's Farm (live);Hard Rain;Bob Dylan;1976
Oh,Sister (live);Hard Rain;Bob Dylan;1976
One Too Many Mornings (live);Hard Rain;Bob Dylan;1976
Shelter From The Storm (live);Hard Rain;Bob Dylan;1976
Stuck Inside Of Mobile With The Memphis Blues Again (live);Hard Rain;Bob Dylan;1976
You're A Big Girl Now (live);Hard Rain;Bob Dylan;1976
Ballad Of A Thin Man;Highway 61 Revisited;Bob Dylan;1965
Desolation Row;Highway 61 Revisited;Bob Dylan;1965
From A Buick Six;Highway 61 Revisited;Bob Dylan;1965
Highway 61 Revisited;Highway 61 Revisited;Bob Dylan;1965
It Takes A Lot To Laugh It Takes A Train To Cry;Highway 61 Revisited;Bob Dylan;1965
Just Like Tom Thumb's Blues;Highway 61 Revisited;Bob Dylan;1965
Like A Rolling Stone;Highway 61 Revisited;Bob Dylan;1965
Queen Jane Approximately;Highway 61 Revisited;Bob Dylan;1965
Tombstone Blues;Highway 61 Revisited;Bob Dylan;1965
Don't Fall Apart On Me Tonight;Infidels;Bob Dylan;1983
I And I;Infidels;Bob Dylan;1983
Jokerman;Infidels;Bob Dylan;1983
License To Kill;Infidels;Bob Dylan;1983
Man Of Peace;Infidels;Bob Dylan;1983
Neighborhood Bully;Infidels;Bob Dylan;1983
Sweetheart Like You;Infidels;Bob Dylan;1983
Union Sundown;Infidels;Bob Dylan;1983
All Along The Watchtower;John Wesley Harding;Bob Dylan;1967
As I Went Out One Morning;John Wesley Harding;Bob Dylan;1967
Dear Landlord;John Wesley Harding;Bob Dylan;1967
Down Along The Cove;John Wesley Harding;Bob Dylan;1967
Drifter's Escape;John Wesley Harding;Bob Dylan;1967
I Am A Lonesome Hobo;John Wesley Harding;Bob Dylan;1967
I Dreamed I Saw St. Augustine;John Wesley Harding;Bob Dylan;1967
I Pity The Poor Immigrant;John Wesley Harding;Bob Dylan;1967
I'll Be Your Baby Tonight;John Wesley Harding;Bob Dylan;1967
John Wesley Harding;John Wesley Harding;Bob Dylan;1967
The Ballad Of Frankie Lee And Judas Priest;John Wesley Harding;Bob Dylan;1967
The Wicked Messenger;John Wesley Harding;Bob Dylan;1967
Brownsville Girl;Knocked Out Loaded;Bob Dylan;1986
Driftin' Too Far From Shore;Knocked Out Loaded;Bob Dylan;1986
Got My Mind Made Up;Knocked Out Loaded;Bob Dylan;1986
Maybe Someday;Knocked Out Loaded;Bob Dylan;1986
Precious Memories;Knocked Out Loaded;Bob Dylan;1986
They Killed Him;Knocked Out Loaded;Bob Dylan;1986
Under Your Spell;Knocked Out Loaded;Bob Dylan;1986
You Wanna Ramble;Knocked Out Loaded;Bob Dylan;1986
Bye And Bye;Love And Theft;Bob Dylan;2001
Cry A While;Love And Theft;Bob Dylan;2001
Floater;Love And Theft;Bob Dylan;2001
High Water;Love And Theft;Bob Dylan;2001
Honest With Me;Love And Theft;Bob Dylan;2001
Lonesome Day Blues;Love And Theft;Bob Dylan;2001
Mississippi;Love And Theft;Bob Dylan;2001
Moonlight;Love And Theft;Bob Dylan;2001
Po' Boy;Love And Theft;Bob Dylan;2001
Sugar Baby;Love And Theft;Bob Dylan;2001
Summer Days;Love And Theft;Bob Dylan;2001
Tweedle Dee And Tweedle Dum;Love And Theft;Bob Dylan;2001
All Along The Watchtower (live);MTV Unplugged;Bob Dylan;1994
Desolation Row (live);MTV Unplugged;Bob Dylan;1994
Dignity (live);MTV Unplugged;Bob Dylan;1994
John Brown (live);MTV Unplugged;Bob Dylan;1994
Knockin' On Heaven's Door (live);MTV Unplugged;Bob Dylan;1994
Like A Rolling Stone (live);MTV Unplugged;Bob Dylan;1994
Love Minus Zero/No Limit (live);MTV Unplugged;Bob Dylan;1994
Rainy Day Women Nos. 12 + 35 (live);MTV Unplugged;Bob Dylan;1994
Shooting Star (live);MTV Unplugged;Bob Dylan;1994
The Times They Are A-Changin' (live);MTV Unplugged;Bob Dylan;1994
Tombstone Blues (live);MTV Unplugged;Bob Dylan;1994
With God On Our Side (live);MTV Unplugged;Bob Dylan;1994
Ain't Talkin';Modern Times;Bob Dylan;2006
Beyond The Horizon;Modern Times;Bob Dylan;2006
Nettie Moore;Modern Times;Bob Dylan;2006
Rollin' And Tumblin';Modern Times;Bob Dylan;2006
Someday Baby;Modern Times;Bob Dylan;2006
Spirit On The Water;Modern Times;Bob Dylan;2006
The Levee's Gonna Break;Modern Times;Bob Dylan;2006
Thunder On The Mountain;Modern Times;Bob Dylan;2006
When The Deal Goes Down;Modern Times;Bob Dylan;2006
Workingman's Blues #2;Modern Times;Bob Dylan;2006
Country Pie;Nashville Skyline;Bob Dylan;1969
Girl From The North Country;Nashville Skyline;Bob Dylan;1969
I Threw It All Away;Nashville Skyline;Bob Dylan;1969
Lay Lady Lay;Nashville Skyline;Bob Dylan;1969
Nashville Skyline Rag;Nashville Skyline;Bob Dylan;1969
One More Night;Nashville Skyline;Bob Dylan;1969
Peggy Day;Nashville Skyline;Bob Dylan;1969
Tell Me That It Isn't True;Nashville Skyline;Bob Dylan;1969
To Be Alone With You;Nashville Skyline;Bob Dylan;1969
Tonight I'll Be Staying Here With You;Nashville Skyline;Bob Dylan;1969
Day Of The Locusts;New Morning;Bob Dylan;1970
Father Of Night;New Morning;Bob Dylan;1970
If Dogs Run Free;New Morning;Bob Dylan;1970
If Not For You;New Morning;Bob Dylan;1970
New Morning;New Morning;Bob Dylan;1970
One More Weekend;New Morning;Bob Dylan;1970
Sign On The Window;New Morning;Bob Dylan;1970
The Man In Me;New Morning;Bob Dylan;1970
Three Angels;New Morning;Bob Dylan;1970
Time Passes Slowly;New Morning;Bob Dylan;1970
Went To See The Gypsy;New Morning;Bob Dylan;1970
Winterlude;New Morning;Bob Dylan;1970
Disease Of Conceit;Oh Mercy;Bob Dylan;1989
Everything Is Broken;Oh Mercy;Bob Dylan;1989
Man In The Long Black Coat;Oh Mercy;Bob Dylan;1989
Most Of The Time;Oh Mercy;Bob Dylan;1989
Political World;Oh Mercy;Bob Dylan;1989
Ring Them Bells;Oh Mercy;Bob Dylan;1989
Shooting Star;Oh Mercy;Bob Dylan;1989
What Good Am I;Oh Mercy;Bob Dylan;1989
What Was It You Wanted;Oh Mercy;Bob Dylan;1989
Where Teardrops Fall;Oh Mercy;Bob Dylan;1989
Billy 1;Pat Garrett And Billy The Kid;Bob Dylan;1973
Billy 4;Pat Garrett And Billy The Kid;Bob Dylan;1973
Billy 7;Pat Garrett And Billy The Kid;Bob Dylan;1973
Bunkhouse Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
Cantina Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
Final Theme ('Pat Garrett And Billy The Kid');Pat Garrett And Billy The Kid;Bob Dylan;1973
Knockin' On Heaven's Door;Pat Garrett And Billy The Kid;Bob Dylan;1973
Main Tittle Theme (Billy);Pat Garrett And Billy The Kid;Bob Dylan;1973
River Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
Turkey Chase;Pat Garrett And Billy The Kid;Bob Dylan;1973
Dirge;Planet Waves;Bob Dylan;1974
Forever Young;Planet Waves;Bob Dylan;1974
Forever Young (II);Planet Waves;Bob Dylan;1974
Going, Going, Gone;Planet Waves;Bob Dylan;1974
Hazel;Planet Waves;Bob Dylan;1974
Never Say Goodbye;Planet Waves;Bob Dylan;1974
On A Night Like This;Planet Waves;Bob Dylan;1974
Something There Is About You;Planet Waves;Bob Dylan;1974
Tough Mama;Planet Waves;Bob Dylan;1974
Wedding Song;Planet Waves;Bob Dylan;1974
You Angel You;Planet Waves;Bob Dylan;1974
A Satisfied Mind;Saved;Bob Dylan;1980
Are You Ready;Saved;Bob Dylan;1980
Covenant Woman;Saved;Bob Dylan;1980
In The Garden;Saved;Bob Dylan;1980
Pressing On;Saved;Bob Dylan;1980
Saved;Saved;Bob Dylan;1980
Saving Grace;Saved;Bob Dylan;1980
Solid Rock;Saved;Bob Dylan;1980
What Can I Do For You;Saved;Bob Dylan;1980
Alberta #1;Self Portrait;Bob Dylan;1970
Alberta #2;Self Portrait;Bob Dylan;1970
All The Tired Horses;Self Portrait;Bob Dylan;1970
Belle Isle;Self Portrait;Bob Dylan;1970
Blue Moon;Self Portrait;Bob Dylan;1970
Copper Kettle;Self Portrait;Bob Dylan;1970
Days Of 49;Self Portrait;Bob Dylan;1970
Early Mornin' Rain;Self Portrait;Bob Dylan;1970
Gotta Travel On;Self Portrait;Bob Dylan;1970
